========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Don Omar                       | 0            | 2            | 6G4U9avyBNEfP0fAIduev3, 69Ej1xrGjOcHvIMtMKxK0G
[X] Juan Luis Guerra 4.40          | 0            | 5            | 2QyJTZeqxmVfbesnoN3r7k, 3H9GcHKKJyZ9TEOLKlJ1U5, 1ujxAyWq352rX1Gw5GEXpy, 6IfMD01z39P15HKezjdaMP, 1oInQX1RuH1TcHuDv8Gvw3
[X] Vicentico                      | 0            | 1            | 4zsDA31stWMtLveU61hejd
[X] Selena                         | 0            | 1            | 0m99Cj2c49fFUWqe50mRx4
[X] Diomedes Diaz                  | 0            | 3            | 54NxLSsiNtL61VSCOLNSSA, 0iuOHCKySYakO6gvNmDiJ4, 61xyQGDYH9yMn4H9MpTh3g
[X] Kinito Mendez                  | 0            | 1            | 6l7DPjyYbzWp9oI45KKg1l
[X] Rikarena                       | 0            | 2            | 0CcL3XBAzarwDseGAm1IFl, 2dg5usl6OJasRbjvUHOlcF
[X] Ivan Zuleta                    | 0            | 1            | 0iuOHCKySYakO6gvNmDiJ4
[X] Checo Acosta                   | 0            | 2            | 1Znsl3y50Os8diORZ8jcIl, 0SvRJNQmi1nB53cITmaqE6
[X] Silvestre Dangond              | 0            | 5            | 7LHLwdtTHOHNFDuLugtUEH, 6knQ5UA9vFcdNLj7lCJzqP, 2xXwJpV9XSULSiFdCVHyru, 4mGRIaDuszXYCTGZfLjjpA, 1UGXsiNn0ACf2MXuHXuiJE
[X] Juancho De La Espriella        | 0            | 2            | 7LHLwdtTHOHNFDuLugtUEH, 2xXwJpV9XSULSiFdCVHyru
[X] Rolando Ochoa                  | 0            | 2            | 6knQ5UA9vFcdNLj7lCJzqP, 4HQa0epS8B23YEHqyA2fKr
[X] Wilfrido Vargas                | 0            | 2            | 0W1NeP4WNvhtsvKmowN1lb, 6E8LDqPYhgxGyZE44tXXkH
[X] Sergio Vargas                  | 0            | 3            | 1QFcugUXrv32vWoKou01z4, 5CmVYFZinikaqh9Mf2J1Xl, 2qlsW9JoDmXNyM7odbFxmn
[X] Carlos Vives                   | 0            | 5            | 7hghCod6sKsoSE6c5myofq, 4bUrpXdPZIJMPUksA8ggDB, 2L2zLsybbySytu4RI5z3aK, 3KpM91VH9eB3tWWDobLMi5, 0HRMIu0FgBAkY0r8XGzExe
[X] Maluma                         | 0            | 3            | 1yoMvmasuxZfqHEipJhRbp, 4HzqWEdAbzcVFDv0pvxV4w, 6DUdDIRgLqCGq1DwkNWQTN
[X] Yandel                         | 0            | 2            | 7LABrQFfRYcZUqUwng0Heb, 4FAKtPVycI4DxoOHC01YqD
[X] Rauw Alejandro                 | 0            | 3            | 2TDyyEBasw10wu5Uh94bR1, 79HZAZNnOE97rb2hnI0XQr, 6mmPpaltUZK7xjNlBPQQ0p
[X] Baby Rasta                     | 0            | 1            | 2TDyyEBasw10wu5Uh94bR1
[X] Deavele Santos                 | 0            | 1            | 4tDUIRZU50xaP0uRAGklqy
[X] Mr Black El Presidente         | 0            | 1            | 46W0RhOuD4nUPCCc6Gjsg7
[X] Giblack                        | 0            | 1            | 7HOlapPvYVls2Ei0L83eLn
[X] DJ Dever                       | 0            | 1            | 6n7g87PKuRMXQFgUnM3ri1
[X] La Toxi Costeña                | 0            | 1            | 6n7g87PKuRMXQFgUnM3ri1
[X] Criss & Ronny                  | 0            | 1            | 7bfutM1qadONSJ1UAPOKqq
[X] La Colectiva Élite             | 0            | 1            | 7bfutM1qadONSJ1UAPOKqq
