=============================================CANCIONES==============================================

ID                     | Nombre                         | Duración (ms) | Popularidad | Artistas
593W4qZOwwdqF6YnimJjL6 | Doves In The Wind (feat. Kendrick Lamar) | 266080        | 74         | SZA, Kendrick Lamar
06u5LrUpbosQlQ1QJFhPpG | Drew Barrymore                 | 231400        | 75         | SZA
5yvhdo8FXbBsIllxv2Rr94 | Prom                           | 196133        | 70         | SZA
6Vmow8PuUaU7W1T2WWLZk2 | Go Gina                        | 161613        | 64         | SZA
19woxaSpjOefa2JnAOoqW5 | Garden (Say It Like Dat)       | 208400        | 71         | SZA
2fXwCWkh6YG5zU1IyvQrbs | Broken Clocks                  | 231253        | 84         | SZA
0336UwEBwBBao8uWCuugYr | Anything                       | 149320        | 61         | SZA
3LcoHjgdNl4xtWVaJGSA1p | Wavy (Interlude) (feat. James Fauntleroy) | 75800         | 59         | SZA, James Fauntleroy
5fQBa4wkmq28xpSLOQ202K | Normal Girl                    | 253586        | 77         | SZA
1IgePMOW0qEe1AViWgkal9 | Pretty Little Birds (feat. Isaiah Rashad) | 245946        | 70         | SZA, Isaiah Rashad
4h6ViRoztTBpWcJ1zFT9Zg | 20 Something                   | 198160        | 73         | SZA
34E2yJTGNWElxDetLk4on5 | Sycamore Tree                  | 111509        | 47         | Kali Uchis
5KCDu7bWD2eXGhVjzBcPDB | Call Me                        | 192759        | 53         | Kali Uchis
2kSb3wYSOV996xA2NSmpck | Melting                        | 208853        | 81         | Kali Uchis
4atsB8EjUKY1kWg8KVag9h | Lottery                        | 206526        | 64         | Kali Uchis
00hh0NPClA0PJetfwn4k5R | Know What I Want               | 251110        | 52         | Kali Uchis
1mObaffqm7cPSUUbNZuiNJ | Rush                           | 230593        | 53         | Kali Uchis
0Ud8Gu7XyqU3jzfsWd9fn3 | Ridin' Round                   | 198500        | 48         | Kali Uchis
0JmO3EBtl9qhnLkzr4FiP0 | Speed                          | 255183        | 59         | Kali Uchis
6m6R6O2BOZDCNymhJ45spI | Loner                          | 212000        | 63         | Kali Uchis
2Tl0t18jgqJo0S7Fs2iy50 | Body Language - Intro          | 136342        | 55         | Kali Uchis
5oJAaPRS2EzNIc8EWIbucE | Miami (feat. BIA)              | 243864        | 56         | Kali Uchis, BIA
1HA2V2EfAgJUBVOju4YfiB | Just A Stranger (feat. Steve Lacy) | 177697        | 67         | Kali Uchis, Steve Lacy
3iv26BUAWSn83q8rhGKPE8 | Flight 22                      | 216982        | 59         | Kali Uchis
54IbnYEdA3ymfxv07WgN3b | Your Teeth In My Neck          | 186181        | 71         | Kali Uchis
4FZOSDwALdWxcGcRbwXWJ8 | Tyrant (feat. Jorja Smith)     | 204289        | 64         | Kali Uchis, Jorja Smith
6LOZws7T3jqZz78unPgFF9 | Dead To Me                     | 199505        | 76         | Kali Uchis
12TOa8pzhbLTWh1vxIsPMp | Nuestro Planeta (feat. Reykon) | 202754        | 54         | Kali Uchis, Reykon
2dDzrUEDCKXaLViMPa1jo5 | In My Dreams                   | 201000        | 55         | Kali Uchis
7N3c9CKUmRqrt3dDvGWBWG | Gotta Get Up - Interlude       | 113270        | 58         | Kali Uchis
3P4gLPPOHIRQ5j6PC1hNa5 | Tomorrow                       | 190375        | 57         | Kali Uchis
66p59VAALXRlp777aP1Wom | Coming Home - Interlude        | 159852        | 51         | Kali Uchis
1otG6j1WHNvl9WgXLWkHTo | After The Storm (feat. Tyler, The Creator & Bootsy Collins) | 207454        | 84         | Kali Uchis, Tyler, The Creator, Bootsy Collins
5RcuACCOhgoc4ZH57AVCLA | Feel Like A Fool               | 185239        | 54         | Kali Uchis
5n1WeUNWJIjs9ueYD4v0Pt | Killer                         | 172357        | 55         | Kali Uchis
2nDLZMuPMvHzNtUY2e7nV3 | la luna enamorada              | 110526        | 60         | Kali Uchis
2I9t0e3gLAKOi5syoHxP46 | fue mejor                      | 228602        | 62         | Kali Uchis, PARTYNEXTDOOR
0Ui4S8sgBCXv4Ao1HhTTun | //aguardiente y limón %ᵕ‿‿ᵕ%   | 161539        | 59         | Kali Uchis
5OJkXdRgQPGrbl6aGnGH1G | vaya con dios                  | 175539        | 56         | Kali Uchis
2qS9IaT9KBShx2xn1CqYMC | que te pedí//                  | 104273        | 53         | Kali Uchis
1xP2jdihnPfoqPNVHHhKnm | quiero sentirme bien           | 222383        | 65         | Kali Uchis
6tDDoYIxWvMLTdKpjFkc1B | telepatía                      | 160191        | 85         | Kali Uchis
6vOQUrwsokMFDQLbgRDhV8 | no eres tu(soy yo)             | 121145        | 61         | Kali Uchis
7lm2mLylLoEjPiqGgcnhSY | de nadie                       | 179902        | 57         | Kali Uchis
05ufCucv6Z1oLMWeS8XapR | ¡aquí yo mando!                | 141954        | 55         | Kali Uchis, Rico Nasty
36Qi2bHMzLMQIHApHFytgv | te pongo mal(prendelo)         | 172621        | 58         | Kali Uchis, Jowell & Randy
4a1s8jkTbAoTlvj6x8pHK6 | la luz(Fín)                    | 180000        | 62         | Kali Uchis, JHAYCO
1MzodJ9cC4zH44nYKdcuwA | ángel sin cielo                | 123459        | 49         | Kali Uchis
2jTmoxh4Lph8ItfGKUfiZW | Solita                         | 177726        | 48         | Kali Uchis
4AIiCP2scA6jt6jAKfkvTX | fue mejor (feat. SZA)          | 230964        | 68         | Kali Uchis, SZA
40xfJg6ZZXr3jRJkxJJZ0O | in My Garden...                | 25225         | 20         | Kali Uchis
35SbrfbaSpGUBX7e5BPega | I Wish you Roses               | 219954        | 73         | Kali Uchis
6V91Cctseyb8yz67YQMDw3 | Worth the Wait (feat. Omar Apollo) | 150699        | 59         | Kali Uchis, Omar Apollo
128I36bDgYHU9l2QcgEGcd | Love Between...                | 155083        | 63         | Kali Uchis
6TRjT37UyRUVrGg3gTlIqb | All Mine                       | 209063        | 61         | Kali Uchis
1dvqHhLNccePPBHq11TW7v | Fantasy (feat. Don Toliver)    | 178274        | 69         | Kali Uchis, Don Toliver
2VxQqF52M7IPkiLd4XmTNi | Como Te Quiero Yo              | 134860        | 57         | Kali Uchis
4ipzXe2jmoeN7zm2VMb4eX | Hasta Cuando                   | 129448        | 67         | Kali Uchis
0wzCQjc8JRa39ej1TFkAFt | Endlessly                      | 155406        | 64         | Kali Uchis
5lrG8pjDvOJA8MdZB4YcfY | Moral Conscience               | 212967        | 63         | Kali Uchis
7oeUBKNIiiYjoasR9pTiu4 | Not Too Late (interlude)       | 155468        | 56         | Kali Uchis
0PfurdlOZRYJ6pkrvHOkUh | Blue                           | 192611        | 59         | Kali Uchis
0vQffWKfl0JyRqtdoZINEM | Deserve Me (with Summer Walker) | 265888        | 59         | Kali Uchis, Summer Walker
0JmnkIqdlnUzPaf8sqBRs3 | Moonlight                      | 187723        | 81         | Kali Uchis
7xS1vBqvD0Otk09SCpZd8y | Happy Now                      | 229844        | 56         | Kali Uchis
54KEm0VI9i3ic7VHHKHKRx | ¿Cómo Así?                     | 169654        | 61         | Kali Uchis
5mVkTPlTPxlQOn7kEvuM3j | Me Pongo Loca                  | 177815        | 58         | Kali Uchis
6XaJfhwof7qIgbbXO5tIQI | Igual Que Un Ángel (with Peso Pluma) | 260370        | 80         | Kali Uchis, Peso Pluma
52x8HIGuk1gGTlvO8CuLNS | Pensamientos Intrusivos        | 192027        | 65         | Kali Uchis
3RleMgz4iO0BNezGdSxDnY | Diosa                          | 156037        | 63         | Kali Uchis
1NEBuFp0BJMikgXJI9VVab | Te Mata                        | 232066        | 58         | Kali Uchis
43oIvC7HVMKkAvuPr4Kt4A | Perdiste                       | 144165        | 55         | Kali Uchis
2R6tflIwv19qoYxg5hYLVh | Young Rich & In Love           | 198300        | 56         | Kali Uchis
59ak5RmKdyspU26ifSg0rW | Tu Corazón Es Mío...           | 165845        | 57         | Kali Uchis
20LZsv2s3dXvoBuPUEOlAv | Muñekita (with El Alfa & JT)   | 219642        | 62         | Kali Uchis, El Alfa, JT
5ycn8M0WNGedabDuaH9mQT | Labios Mordidos (with KAROL G) | 195373        | 67         | Kali Uchis, KAROL G
16pNGHrUDtUq5Qg4LnueIi | No Hay Ley Parte 2 (with Rauw Alejandro) | 188268        | 64         | Kali Uchis, Rauw Alejandro
0xuR1uorCHBfBi0HDZPSYi | Heladito                       | 144135        | 56         | Kali Uchis
21RAJfkAbaq85RWJQWoxkx | Dame Beso // Muévete           | 215666        | 63         | Kali Uchis
03j354P848KtNU2FVSwkDG | Real Life                      | 223373        | 60         | The Weeknd
1bAvtmTl0F9loyz9AwPwp7 | Losers                         | 281146        | 61         | The Weeknd, Labrinth
1mhVXWduD8ReDwusfaHNwU | Tell Your Friends              | 334333        | 68         | The Weeknd
