=================================ARTISTAS ORDENADOS POR POPULARIDAD=================================

Artista                        | Popularidad  | # Canciones  | Canciones
Wilfrido Vargas                | 0            | 2            | 0W1NeP4WNvhtsvKmowN1lb, 6E8LDqPYhgxGyZE44tXXkH
Sergio Vargas                  | 0            | 3            | 1QFcugUXrv32vWoKou01z4, 5CmVYFZinikaqh9Mf2J1Xl, 2qlsW9JoDmXNyM7odbFxmn
Carlos Vives                   | 0            | 5            | 7hghCod6sKsoSE6c5myofq, 4bUrpXdPZIJMPUksA8ggDB, 2L2zLsybbySytu4RI5z3aK, 3KpM91VH9eB3tWWDobLMi5, 0HRMIu0FgBAkY0r8XGzExe
Maluma                         | 0            | 3            | 1yoMvmasuxZfqHEipJhRbp, 4HzqWEdAbzcVFDv0pvxV4w, 6DUdDIRgLqCGq1DwkNWQTN
Yandel                         | 0            | 2            | 7LABrQFfRYcZUqUwng0Heb, 4FAKtPVycI4DxoOHC01YqD
Rauw Alejandro                 | 0            | 3            | 2TDyyEBasw10wu5Uh94bR1, 79HZAZNnOE97rb2hnI0XQr, 6mmPpaltUZK7xjNlBPQQ0p
Baby Rasta                     | 0            | 1            | 2TDyyEBasw10wu5Uh94bR1
Deavele Santos                 | 0            | 1            | 4tDUIRZU50xaP0uRAGklqy
Mr Black El Presidente         | 0            | 1            | 46W0RhOuD4nUPCCc6Gjsg7
Giblack                        | 0            | 1            | 7HOlapPvYVls2Ei0L83eLn
DJ Dever                       | 0            | 1            | 6n7g87PKuRMXQFgUnM3ri1
La Toxi Costeña                | 0            | 1            | 6n7g87PKuRMXQFgUnM3ri1
Criss & Ronny                  | 0            | 1            | 7bfutM1qadONSJ1UAPOKqq
La Colectiva Élite             | 0            | 1            | 7bfutM1qadONSJ1UAPOKqq
Kevin Florez                   | 0            | 1            | 2irs5LroVpUDR36Act6UsS
Nicky Jam                      | 0            | 3            | 2irs5LroVpUDR36Act6UsS, 2VSK0CBTBzki1AOVJV83k8, 7geOCrsAm3LNJCrH81bR5a
Becky G                        | 0            | 2            | 59L8x0xy8njj75vzVCPMqg, 7FlQk2gJ6TBrHHiidvdR2O
El Alfa                        | 0            | 3            | 59L8x0xy8njj75vzVCPMqg, 5w9QfSM6iY9pPaxOj4ByT4, 1sviDBcAqVOxMXq4xITVEs
KAROL G                        | 0            | 11           | 2FSGUA0gFgGeQdprjtGM2M, 7dSZ6zGTQx66c2GF91xCrb, 1ga4PztXOIw1yBbdUt2X8v, 7FlQk2gJ6TBrHHiidvdR2O, 6WbAhuwE6fCOriBu5786X1, 0bI7K9Becu2dtXK1Q3cZNB, 0dKg2vGC1hFqcK5LGTaKzX, 1WvrDdouh6C51In1SdATbq, 0DWdj2oZMBFSzRsi2Cvfzf, 4NoOME4Dhf4xgxbHDT7VGe, 2ksOAxtIxY8yElEWw8RhgK
Mariah Angeliq                 | 0            | 1            | 2FSGUA0gFgGeQdprjtGM2M
Maldy                          | 0            | 1            | 1ga4PztXOIw1yBbdUt2X8v
Ovy On The Drums               | 0            | 1            | 6WbAhuwE6fCOriBu5786X1
Tiësto                         | 0            | 1            | 0bI7K9Becu2dtXK1Q3cZNB
Nicki Minaj                    | 0            | 1            | 0dKg2vGC1hFqcK5LGTaKzX
Fonseca                        | 0            | 3            | 49QjsMw8972j5rfODZzWWq, 2BzPF9dX13wqEAo5a3XPR2, 1UGXsiNn0ACf2MXuHXuiJE
Alejandro González             | 0            | 2            | 4bUrpXdPZIJMPUksA8ggDB, 6i4OlSxwAfC1IyZkK5Bq8j
Ivy Queen                      | 0            | 1            | 7mY1dIaY9vY6Jrlrjg3dRn
Shakira                        | 0            | 1            | 0DWdj2oZMBFSzRsi2Cvfzf
Bizarrap                       | 0            | 1            | 2tTmW7RDtMQtBk7m2rYeSw
Quevedo                        | 0            | 1            | 2tTmW7RDtMQtBk7m2rYeSw
Bad Bunny                      | 0            | 14           | 6Sq7ltF9Qa7SNFBsV5Cogx, 38UYeBLfvpnDSG9GznZdnL, 1IHWl5LamUGEuP4ozKQSXZ, 3k3NWokhRRkEPhCzPmV8TW, 1797zYiX4cKosMH836X9Gt, 41oY4WCTj5kccfesTVFnvN, 6VrQTLzzuyGIYjUDe4kAZk, 48AJSd42lXpicsGqcgopof, 2JPLbjOn0wPCngEot2STUS, 4r9jkMEnArtWGH2rL2FZl0, 2mnXxnrX5vCGolNkaFvVeM, 54ELExv56KCAB4UP9cOCzC, 2TH65lNHgvLxCKXM3apjxI, 4R8BJggjosTswLxtkw8V7P
Chencho Corleone               | 0            | 2            | 6Sq7ltF9Qa7SNFBsV5Cogx, 6mmPpaltUZK7xjNlBPQQ0p
Gorillaz                       | 0            | 1            | 38UYeBLfvpnDSG9GznZdnL
Feid                           | 0            | 7            | 4FAKtPVycI4DxoOHC01YqD, 4srcMdbm2qzVG98tJajHxp, 3kUq4sBcmxhnOtNysZ9yrp, 02jLfqc9gMo8PkHEGHY3OT, 1zsPaEkglFvxjAhrM8yhpr, 0CYTGMBYkwUxrj1MWDLrC5, 2z9YkcLojiOE7Eu2p9lPZR
Bomba Estéreo                  | 0            | 1            | 3k3NWokhRRkEPhCzPmV8TW
Lyanno                         | 0            | 1            | 79HZAZNnOE97rb2hnI0XQr
Brray                          | 0            | 1            | 79HZAZNnOE97rb2hnI0XQr
Tony Dize                      | 0            | 1            | 1797zYiX4cKosMH836X9Gt
JHAYCO                         | 0            | 2            | 41oY4WCTj5kccfesTVFnvN, 4R8BJggjosTswLxtkw8V7P
Cris Mj                        | 0            | 1            | 1O2pcBJGej0pmH2Y9XZMs6
Pablito Pesadilla              | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
Polimá Westcoast               | 0            | 2            | 0kTMK4gNFfLXaTb62w1UaJ, 0OTNHGKcqQbk51bOYe462Y
Nickoog Clk                    | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
