========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Yandel                         | 79           | 3            | 3pm4XtcsRIFFtH2UErk62R, 4FAKtPVycI4DxoOHC01YqD, 5Uel5PmPBZICA0TQTI912U
[X] Mora                           | 81           | 2            | 4tQofG51E0juZBBVr6pral, 5jt25aFjW2kNoBqaEVaz5W
[X] Maldy                          | 60           | 1            | 1ga4PztXOIw1yBbdUt2X8v
[X] Rauw Alejandro                 | 91           | 3            | 58cEG7FsVoipRiRKUMgOjo, 33cF8aTmGJ6TsEf23uqGIN, 6mmPpaltUZK7xjNlBPQQ0p
[X] Baby Rasta                     | 71           | 1            | 58cEG7FsVoipRiRKUMgOjo
[X] Quevedo                        | 84           | 1            | 2tTmW7RDtMQtBk7m2rYeSw
[X] Polimá Westcoast               | 65           | 1            | 6wtZPYBIXUvCpXwVjMCJBf
[X] Pailita                        | 65           | 1            | 6wtZPYBIXUvCpXwVjMCJBf
[X] Paloma Mami                    | 63           | 1            | 6wtZPYBIXUvCpXwVjMCJBf
[X] Maluma                         | 87           | 5            | 387Dc03iCK2iZ6PBHU1Vb5, 5hEM0JchdVzQ5PwvSfITeX, 0JoHqmlqE0W0i9prt6kcHR, 4yVO0wOhXsZC1RuPgHP524, 6DUdDIRgLqCGq1DwkNWQTN
[X] Cris Mj                        | 85           | 1            | 0NO2zL0kw8sGGnaMvHKAZF
[X] Duki                           | 84           | 1            | 0NO2zL0kw8sGGnaMvHKAZF
[X] Nicki Nicole                   | 78           | 1            | 0NO2zL0kw8sGGnaMvHKAZF
[X] Standly                        | 73           | 1            | 0NO2zL0kw8sGGnaMvHKAZF
[X] Stars Music Chile              | 63           | 1            | 0NO2zL0kw8sGGnaMvHKAZF
[X] Tiago PZK                      | 78           | 1            | 6VAS7m73rDopQe7BdrFMpD
[X] Anuel AA                       | 89           | 1            | 5q2JbCNi4FcnglgPfxcV65
[X] Zion & Lennox                  | 77           | 4            | 5q2JbCNi4FcnglgPfxcV65, 3QwBODjSEzelZyVjxPOHdq, 5qFeMRz4TvetPmzjre9Dq7, 0VKkyBKCXyR99navhVRqcP
[X] Farruko                        | 84           | 2            | 5q2JbCNi4FcnglgPfxcV65, 6C1RD7YQVvt3YQj0CmuTeu
[X] Wisin                          | 77           | 3            | 5q2JbCNi4FcnglgPfxcV65, 4ggiDYAkJ7Yk8d5xOr7Xjo, 4yN6xPLopmTLvc27pO9LIE
[X] Rels B                         | 83           | 2            | 3fjN3y5x4hN53rykAN2LHQ, 7MmrcXVA7A5zZ2CbDuGHNa
[X] Ñejo                           | 71           | 1            | 45jM2fuCq0NHD9p7xn0ptd
[X] Pj Sin Suela                   | 57           | 1            | 45jM2fuCq0NHD9p7xn0ptd
[X] DJ Nelson                      | 72           | 1            | 45jM2fuCq0NHD9p7xn0ptd
[X] Trap Capos                     | 72           | 1            | 0JoHqmlqE0W0i9prt6kcHR
[X] Noriel                         | 79           | 1            | 0JoHqmlqE0W0i9prt6kcHR
[X] Bryant Myers                   | 84           | 1            | 0JoHqmlqE0W0i9prt6kcHR
[X] Juhn                           | 74           | 1            | 0JoHqmlqE0W0i9prt6kcHR
[X] IAmChino                       | 59           | 1            | 5Uel5PmPBZICA0TQTI912U
[X] Pitbull                        | 87           | 1            | 5Uel5PmPBZICA0TQTI912U
[X] El Chacal                      | 59           | 1            | 5Uel5PmPBZICA0TQTI912U
[X] Ozuna                          | 88           | 6            | 1zsPaEkglFvxjAhrM8yhpr, 6C1RD7YQVvt3YQj0CmuTeu, 5u5MvmVtitax9R1Mxh3reC, 4ggiDYAkJ7Yk8d5xOr7Xjo, 0uRHot8ml8U8cYVwwzMwNT, 1WbXIpiGBJkCiv3hn40iPB
[X] Alejo                          | 64           | 1            | 4srcMdbm2qzVG98tJajHxp
[X] ROBI                           | 57           | 1            | 4srcMdbm2qzVG98tJajHxp
[X] Yaviah                         | 58           | 1            | 4j4w4CXm6BSr0s25wAWrrX
[X] ABRA                           | 56           | 1            | 5jZ32WOU7sqzDYbzINwMUk
[X] Chencho Corleone               | 78           | 2            | 6Sq7ltF9Qa7SNFBsV5Cogx, 6mmPpaltUZK7xjNlBPQQ0p
[X] Lyanno                         | 75           | 1            | 33cF8aTmGJ6TsEf23uqGIN
[X] Brray                          | 73           | 1            | 33cF8aTmGJ6TsEf23uqGIN
[X] Myke Towers                    | 89           | 1            | 3JHpk0DOTOzyh0777JFAky
[X] Ñengo Flow                     | 81           | 1            | 6C1RD7YQVvt3YQj0CmuTeu
[X] DJ Luian                       | 77           | 1            | 6C1RD7YQVvt3YQj0CmuTeu
[X] Mambo Kingz                    | 76           | 1            | 6C1RD7YQVvt3YQj0CmuTeu
[X] Reik                           | 78           | 2            | 4ggiDYAkJ7Yk8d5xOr7Xjo, 4yVO0wOhXsZC1RuPgHP524
[X] Klasico                        | 55           | 1            | 0uRHot8ml8U8cYVwwzMwNT
[X] Jory Boy                       | 71           | 1            | 5hKjEpYrJIJs6uPl7zw6Y6
[X] Sebastian Yatra                | 81           | 1            | 0JcNysfWVWaMS7R6vzGB2k
[X] Mau y Ricky                    | 70           | 1            | 56f5qnyAlZdlz8wrUDA50h
[X] Camilo                         | 83           | 1            | 56f5qnyAlZdlz8wrUDA50h
[X] Greeicy                        | 71           | 2            | 3IyPnNX142pvWx6D5CiimD, 041Kcvnw8nOdq8xiRibPTG
[X] Mike Bahía                     | 66           | 1            | 3IyPnNX142pvWx6D5CiimD
[X] Chino & Nacho                  | 67           | 2            | 23WI5V2eD4EyGKxSl7Pyeq, 77VXEopCatM9pqJl0beeCj
[X] Bellakath                      | 71           | 1            | 4ilZV1WNjL7IxwE81OnaRY
[X] Nacho                          | 65           | 1            | 041Kcvnw8nOdq8xiRibPTG
[X] Silvestre Dangond              | 69           | 1            | 1EoaN82FtXfHvKWxITkr8S
[X] Nicky Jam                      | 83           | 2            | 1EoaN82FtXfHvKWxITkr8S, 4yN6xPLopmTLvc27pO9LIE
[X] Carlos Baute                   | 66           | 1            | 3UI9I3e1g1y5T3SMfdgfGO
[X] Marta Sánchez                  | 65           | 1            | 3UI9I3e1g1y5T3SMfdgfGO
[X] Don Omar                       | 85           | 2            | 69Ej1xrGjOcHvIMtMKxK0G, 3YT1coaqAGWLRBIBJOu8AN
[X] Maria Becerra                  | 79           | 1            | 6D2TCm4nf5nxAcdGJ7w3QP
[X] CNCO                           | 67           | 1            | 3AEZUABDXNtecAOSC1qTfo
[X] Anitta                         | 83           | 1            | 3FkeNbs9Zeiqkr3WkbOiGp
[X] Angel Y Khriz                  | 66           | 1            | 2Jz1X6ZB0gkkCVgmeVGVGp
[X] Gocho "El Lápiz De Platino"    | 60           | 1            | 2Jz1X6ZB0gkkCVgmeVGVGp
[X] John Eric                      | 60           | 1            | 2Jz1X6ZB0gkkCVgmeVGVGp
[X] La Factoria                    | 66           | 1            | 6yLqoieklk9gwabLaUDJ4s
[X] Eddy Lover                     | 65           | 1            | 6yLqoieklk9gwabLaUDJ4s
[X] Sech                           | 81           | 1            | 1Ej96GIBCTvgH7tNX1r3qr
[X] Darell                         | 77           | 1            | 1Ej96GIBCTvgH7tNX1r3qr
[X] Becky G                        | 77           | 1            | 62vDrkBEyJYEOFj1ScBqM7
[X] NATTI NATASHA                  | 75           | 1            | 62vDrkBEyJYEOFj1ScBqM7
[X] Ivy Queen                      | 64           | 1            | 7mY1dIaY9vY6Jrlrjg3dRn
[X] Mackie Ranks                   | 54           | 1            | 3YT1coaqAGWLRBIBJOu8AN
[X] Alex Gargolas                  | 63           | 1            | 1Hu8EMKCGD25srDybGOtBC
[X] Casa De Leones                 | 58           | 1            | 7d05Cx72W1WsWUw7MAD7ia
[X] Calle 13                       | 69           | 1            | 1q8NdCAQ9QUjpYiqzdd3mv
[X] aleXaa                         | 0            | 1            | 4EL4EiucCwiYAWcptXnToW
[X] Romeo Santos                   | 85           | 1            | 1WbXIpiGBJkCiv3hn40iPB
[X] Alejandro Sanz                 | 79           | 1            | 5BSclXJTa9B0iURhUjZo50
